attraction_id,attraction_name,nearest_station_id,nearest_station_name,distance_to_station_m,pressure_score,lat,lon,category,type,popularity_score,rating,review_count,source_name,original_name,nearest_metro_line,source_url,google_place_id,google_maps_uri,google_website_uri,google_types,include_in_model,exclude_reason,mapping_confidence,visitor_count_score,official_recognition_score,attraction_scale_score,metro_access_score,opening_availability_score,mapping_confidence_score,penalty_score,attraction_score,scoring_note,data_quality_note,osm_type,osm_id,tourism,historic,leisure,amenity,wikidata,wikipedia,google_match_distance_m
P0011,Tokyo Tower,H05,Kamiyacho,456.2,0.724628,35.6585639,139.74544,tower_observation_deck,observation_deck|tourist_attraction|landmark|shopping_mall|art_gallery|point_of_interest|establishment,19.709,4.5,96340.0,curated_representative,東京タワー,Hibiya,https://en.tokyotower.co.jp/,ChIJCewJkL2LGGAR3Qmk0vCTGkg,https://maps.google.com/?cid=5195627782660688349&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tokyotower.co.jp/,observation_deck|tourist_attraction|landmark|shopping_mall|art_gallery|point_of_interest|establishment,True,NA,high,0,15,20,12,8,5,0,79.709,"score=79.7/110; visitor=0, google=19.7, official=15, scale=20, metro=12, opening=8, mapping=5, penalty=0",Kept as representative tourism cluster. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,2.0
P0012,Omotesando / Aoyama Shopping District,F15,MeijiJingumae,275.2,0.722915,35.6673218,139.7080856,shopping_district,shopping_mall|point_of_interest|establishment,15.521,4.0,8407.0,curated_representative,表参道 / 青山ショッピング地区,Fukutoshin,https://www.gotokyo.org/en/destinations/western-tokyo/harajuku/index.html,ChIJCx6jgqGMGGARpfB5UIap15k,https://maps.google.com/?cid=11085515402136645797&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.omotesandohills.com/,shopping_mall|point_of_interest|establishment,True,NA,high,0,20,20,15,4,5,0,79.521,"score=79.5/110; visitor=0, google=15.5, official=20, scale=20, metro=15, opening=4, mapping=5, penalty=0",Representative Omotesando-Harajuku retail corridor; not an individual shop. No reliable annual visitor count found; included as representative tourism proxy. Opening hours are coarse modeling assumptions for a district or commercial area.,NA,NA,NA,NA,NA,NA,NA,NA,48.1
P0013,Akihabara Electric Town,G14,Suehirocho,249.1,0.722721,35.7005422,139.7716248,shopping_entertainment_district,tourist_attraction|point_of_interest|establishment,15.499,4.5,8303.0,curated_representative,秋葉原電気街,Ginza,https://www.gotokyo.org/en/spot/55/index.html,ChIJZzSYoB2MGGARfBcicn7sx28,https://maps.google.com/?cid=8054666486400292732&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://akiba.or.jp/,tourist_attraction|point_of_interest|establishment,True,NA,high,0,20,20,15,4,5,0,79.499,"score=79.5/110; visitor=0, google=15.5, official=20, scale=20, metro=15, opening=4, mapping=5, penalty=0","Opening hours are coarse modeling assumptions for a district, facility, or variable schedule. No reliable annual visitor count found; included as representative tourism proxy. Opening hours are coarse modeling assumptions for a district, commercial area, or variable facility schedule.",NA,NA,NA,NA,NA,NA,NA,NA,94.3
P0014,Tsukiji Hongwanji Temple,H11,Tsukiji,180.2,0.721095,35.666338,139.77209,temple_shrine,buddhist_temple|cemetery|place_of_worship|association_or_organization|point_of_interest|service|establishment,15.32,4.3,7482.0,curated_representative,築地本願寺,Hibiya,https://tsukijihongwanji.jp/global/guide/,ChIJjz_yQt-LGGARkyfs8FyJeVA,https://maps.google.com/?cid=5798817027488229267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://tsukijihongwanji.jp/,buddhist_temple|cemetery|place_of_worship|association_or_organization|point_of_interest|service|establishment,True,NA,high,0,20,20,15,4,5,0,79.32,"score=79.3/110; visitor=0, google=15.3, official=20, scale=20, metro=15, opening=4, mapping=5, penalty=0",Manual coordinate used; representative temple next to Tsukiji Station and Tsukiji market cluster. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,24.0
P0015,Art Aquarium Museum GINZA,G09,Ginza,33.6,0.715604,35.67138,139.7657079,museum_entertainment,art_museum|aquarium|art_gallery|tourist_attraction|amusement_park|pet_store|museum|amusement_center|store|point_of_interest|establishment,14.716,4.1,5263.0,curated_representative,アートアクアリウム美術館 GINZA,Ginza,https://artaquarium.jp/en/,ChIJ6UVSHl2JGGARDurMrMPwvdk,https://maps.google.com/?cid=15689961400037075470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://artaquarium.jp/,art_museum|aquarium|art_gallery|tourist_attraction|amusement_park|pet_store|museum|amusement_center|store|point_of_interest|establishment,True,NA,high,0,20,20,15,4,5,0,78.716,"score=78.7/110; visitor=0, google=14.7, official=20, scale=20, metro=15, opening=4, mapping=5, penalty=0",Representative Ginza indoor tourism attraction; overlaps with Ginza retail cluster. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,2.9
P0016,Meiji Shrine (Meiji Jingu),C03,MeijiJingumae,587.6,0.714406,35.6731566,139.6997419,shrine_park,shinto_shrine|tourist_attraction|place_of_worship|association_or_organization|point_of_interest|establishment,18.585,4.6,50059.0,curated_representative,明治神宮,Chiyoda,https://www.meijijingu.or.jp/en/visit/,ChIJ5SZMmreMGGARcz8QSTiJyo8,https://maps.google.com/?cid=10361244767556222835&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.meijijingu.or.jp/,shinto_shrine|tourist_attraction|place_of_worship|association_or_organization|point_of_interest|establishment,True,NA,high,0,15,20,12,8,5,0,78.585,"score=78.6/110; visitor=0, google=18.6, official=15, scale=20, metro=12, opening=8, mapping=5, penalty=0",Kept as representative tourism cluster. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,362.3
P0017,Hibiya Park,C09,Hibiya,235.4,0.714174,35.6737111,139.7561768,park_public_area,park|historical_landmark|historical_place|point_of_interest|establishment,16.559,4.2,15391.0,curated_representative,日比谷公園,Chiyoda,https://www.tokyo-park.or.jp/park/hibiya/,ChIJx6xXOPKLGGARtPr6qZZ2nHA,https://maps.google.com/?cid=8114491018083760820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tokyo-park.or.jp/park/format/index037.html,park|historical_landmark|historical_place|point_of_interest|establishment,True,NA,high,0,20,12,15,10,5,0,78.559,"score=78.6/110; visitor=0, google=16.6, official=20, scale=12, metro=15, opening=10, mapping=5, penalty=0",Large central park and event space near Hibiya/Kasumigaseki. No reliable annual visitor count found; included as representative tourism proxy. Open public area; surrounding facility hours vary.,NA,NA,NA,NA,NA,NA,NA,NA,29.3
P0018,Senso-ji / Kaminarimon,G19,Asakusa,343.1,0.709748,35.713454,139.7959524,temple_shrine,buddhist_temple|historical_landmark|tourist_attraction|sculpture|historical_place|place_of_worship|association_or_organization|point_of_interest|establishment,18.072,4.5,37145.0,curated_representative,浅草寺 / 雷門,Ginza,https://www.senso-ji.jp/,ChIJ0YwG28aOGGARvRKAXIBWqNk,https://maps.google.com/?cid=15683880811625452221&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.senso-ji.jp/guide/guide01.html,buddhist_temple|historical_landmark|tourist_attraction|sculpture|historical_place|place_of_worship|association_or_organization|point_of_interest|establishment,True,NA,high,0,15,20,12,8,5,0,78.072,"score=78.1/110; visitor=0, google=18.1, official=15, scale=20, metro=12, opening=8, mapping=5, penalty=0",Asakusa tourism cluster; aggregate with cap to avoid over-amplifying one station. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,262.6
P0019,Kokyo Gaien National Garden / Imperial Palace Plaza,C10,Nijubashimae,351.1,0.706834,35.6799604,139.7579505,public_garden_landmark,national_park|scenic_spot|tourist_attraction|park|point_of_interest|establishment,15.752,4.4,9618.0,curated_representative,皇居外苑,Chiyoda,https://fng.or.jp/koukyo/en/,ChIJAQCEbPGLGGARFa0L-v-rNtg,https://maps.google.com/?cid=15579829076834888981&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://fng.or.jp/koukyo/,national_park|scenic_spot|tourist_attraction|park|point_of_interest|establishment,True,NA,high,0,15,20,12,10,5,0,77.752,"score=77.8/110; visitor=0, google=15.8, official=15, scale=20, metro=12, opening=10, mapping=5, penalty=0",Open public area; surrounding facility hours vary. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,37.0
P0020,Tokyo International Forum / Marunouchi,Y18,Yurakucho,211.0,0.701546,35.676686,139.7644506,event_complex_district,convention_center|event_venue|service|point_of_interest|establishment,17.17,4.0,21966.0,curated_representative,東京国際フォーラム / 丸の内,Yurakucho,https://www.t-i-forum.co.jp/en/,ChIJ4f1ovPqLGGARPSbtLQBqysQ,https://maps.google.com/?cid=14180262925732488765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.t-i-forum.co.jp/,convention_center|event_venue|service|point_of_interest|establishment,True,NA,high,0,20,16,15,4,5,0,77.17,"score=77.2/110; visitor=0, google=17.2, official=20, scale=16, metro=15, opening=4, mapping=5, penalty=0",Representative event and Marunouchi/Yurakucho visitor cluster. No reliable annual visitor count found; included as representative tourism proxy. Opening hours are coarse modeling assumptions for a district or commercial area.,NA,NA,NA,NA,NA,NA,NA,NA,63.3
P0021,Sunshine Aquarium,Y10,HigashiIkebukuro,376.7,0.699392,35.7291388,139.7202726,aquarium,aquarium|tourist_attraction|point_of_interest|establishment,15.933,4.2,10689.0,curated_representative,サンシャイン水族館,Yurakucho,https://sunshinecity.jp/en/aquarium/,ChIJhT_wQW-NGGARyeOCR2L-W-I,https://maps.google.com/?cid=16310910173512393673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://sunshinecity.jp/aquarium/?utm_source=Google&utm_medium=mybusiness&utm_campaign=kutikomi&utm_id=1,aquarium|tourist_attraction|point_of_interest|establishment,True,NA,high,0,20,20,12,4,5,0,76.933,"score=76.9/110; visitor=0, google=15.9, official=20, scale=20, metro=12, opening=4, mapping=5, penalty=0",Facility-level component of Sunshine City/Ikebukuro tourism cluster. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,25.9
P0022,Nihonbashi / Mitsukoshimae District,Z09,Mitsukoshimae,257.8,0.697896,35.6843176,139.7703261,shopping_district,department_store|store|point_of_interest|establishment,16.769,4.1,17387.0,curated_representative,日本橋 / 三越前地区,Hanzomon,https://www.gotokyo.org/en/destinations/central-tokyo/nihonbashi/index.html,ChIJiXTqi1WJGGAR08VFBmKoNrc,https://maps.google.com/?cid=13201924496648685011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.mistore.jp/store/nihombashi.html,department_store|store|point_of_interest|establishment,True,NA,high,0,20,16,15,4,5,0,76.769,"score=76.8/110; visitor=0, google=16.8, official=20, scale=16, metro=15, opening=4, mapping=5, penalty=0",Representative Nihonbashi-Mitsukoshimae commercial/tourism district; candidate geometry uses Tokyo Torch area. No reliable annual visitor count found; included as representative tourism proxy. Opening hours are coarse modeling assumptions for a district or commercial area.,NA,NA,NA,NA,NA,NA,NA,NA,316.2
P0023,Yoyogi Park,C02,YoyogiKoen,596.6,0.695667,35.6699745,139.6963083,park_public_area,park|tourist_attraction|point_of_interest|establishment,17.523,4.4,26983.0,curated_representative,代々木公園,Chiyoda,https://www.tokyo-park.or.jp/park/yoyogi/,ChIJMwpiebSMGGARPr_454zHvDQ,https://maps.google.com/?cid=3800131593595043646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tokyo-park.or.jp/park/yoyogi/,park|tourist_attraction|point_of_interest|establishment,True,NA,high,0,20,12,12,10,5,0,76.523,"score=76.5/110; visitor=0, google=17.5, official=20, scale=12, metro=12, opening=10, mapping=5, penalty=0",Representative large park near Harajuku/Meiji-jingumae; event-day crowds can affect Metro access. No reliable annual visitor count found; included as representative tourism proxy. Open public area; surrounding facility hours vary.,NA,NA,NA,NA,NA,NA,NA,NA,121.7
P0024,Nakamise Shopping Street,G19,Asakusa,215.7,0.686732,35.712388,139.796502,shopping_street,tourist_attraction|shopping_mall|market|point_of_interest|establishment,16.541,4.3,15225.0,curated_representative,仲見世商店街,Ginza,https://www.senso-ji.jp/guide/,ChIJPd37MMGOGGARvJ2hfxoiNVE,https://maps.google.com/?cid=5851620788043619772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.asakusa-nakamise.jp/,tourist_attraction|shopping_mall|market|point_of_interest|establishment,True,NA,high,0,15,20,15,4,5,0,75.541,"score=75.5/110; visitor=0, google=16.5, official=15, scale=20, metro=15, opening=4, mapping=5, penalty=0","Asakusa tourism cluster; aggregate with cap to avoid over-amplifying one station. Opening hours are coarse modeling assumptions for a district, facility, or variable schedule. No reliable annual visitor count found; included as representative tourism proxy. Opening hours are coarse modeling assumptions for a district, commercial area, or variable facility schedule.",NA,NA,NA,NA,NA,NA,NA,NA,60.9
P0025,Yoyogi Park Rockers,C03,MeijiJingumae,255.0,0.686576,35.6690741,139.7011219,tourism=attraction,tourism=attraction,17.523,4.4,26983.0,OSM,Yoyogi Park Rockers,Chiyoda,https://www.tokyo-park.or.jp/park/yoyogi/,ChIJMwpiebSMGGARPr_454zHvDQ,https://maps.google.com/?cid=3800131593595043646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tokyo-park.or.jp/park/yoyogi/,park|tourist_attraction|point_of_interest|establishment,True,NA,high,0,20,16,15,2,5,0,75.523,"score=75.5/110; visitor=0, google=17.5, official=20, scale=16, metro=15, opening=2, mapping=5, penalty=0",No reliable annual visitor count found; included as representative tourism proxy.,node,5537282825.0,attraction,NA,NA,NA,NA,NA,566.9
P0026,Koishikawa Korakuen Gardens,M22,Korakuen,250.9,0.682863,35.7053585,139.7494608,garden_historic_site,garden|tourist_attraction|park|point_of_interest|establishment,15.115,4.4,6638.0,curated_representative,小石川後楽園,Marunouchi,https://www.tokyo-park.or.jp/park/koishikawakorakuen/,ChIJBVDeRkaMGGARXsIjrhYCIhs,https://maps.google.com/?cid=1955127484666331742&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tokyo-park.or.jp/park/koishikawakorakuen/,garden|tourist_attraction|park|point_of_interest|establishment,True,NA,high,0,20,12,15,8,5,0,75.115,"score=75.1/110; visitor=0, google=15.1, official=20, scale=12, metro=15, opening=8, mapping=5, penalty=0",Historic garden near Korakuen/Tokyo Dome cluster. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,40.8
P0027,Kaminarimon,G19,Asakusa,134.0,0.682475,35.7111333,139.7963683,tourism=attraction,tourism=attraction,18.072,4.5,37145.0,OSM,Kaminarimon,Ginza,https://www.senso-ji.jp/guide/kaminari.html,ChIJ0YwG28aOGGARvRKAXIBWqNk,https://maps.google.com/?cid=15683880811625452221&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.senso-ji.jp/guide/guide01.html,buddhist_temple|sculpture|historical_landmark|tourist_attraction|historical_place|place_of_worship|association_or_organization|point_of_interest|establishment,True,NA,high,0,15,20,15,2,5,0,75.072,"score=75.1/110; visitor=0, google=18.1, official=15, scale=20, metro=15, opening=2, mapping=5, penalty=0",No reliable annual visitor count found; included as representative tourism proxy.,way,173154849.0,attraction,yes,NA,NA,Q2378708,ja:雷門,1.9
P0028,Tsukiji Outer Market,H11,Tsukiji,316.8,0.679684,35.665486,139.770667,market_food_district,wholesaler|point_of_interest|establishment,18.765,4.2,55608.0,curated_representative,築地場外市場,Hibiya,https://www.tsukiji.or.jp/english/plattsukiji/,ChIJW2cLzSGLGGARXAKXv6EkbqI,https://maps.google.com/?cid=11704332758705177180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tsukiji.or.jp/,wholesaler|point_of_interest|establishment,True,NA,high,0,15,20,12,4,5,0,74.765,"score=74.8/110; visitor=0, google=18.8, official=15, scale=20, metro=12, opening=4, mapping=5, penalty=0","Opening hours are coarse modeling assumptions for a district, facility, or variable schedule. No reliable annual visitor count found; included as representative tourism proxy. Opening hours are coarse modeling assumptions for a district, commercial area, or variable facility schedule.",NA,NA,NA,NA,NA,NA,NA,NA,88.0
